gene0	NDEL1
gene14985	VSIG10
gene14986	L345_14992
gene14987	ZC3H13
gene14988	HSPG2
gene14989	Hspg2
gene14990	L345_14990
gene14991	Acin1
gene14992	Hspg2
gene14993	midn
gene14994	RYR1
gene14995	Tf2-1
gene14996	L345_15001
gene14997	L345_14997
gene14998	dotA
gene14999	VSIG2
gene15000	L345_14998
gene15001	L345_15002
gene15002	RH42
gene15003	Nelf
gene15004	FEN1
gene15005	L345_15006
gene15006	L345_15007
gene15007	RASAL2
gene15008	Cxcl11
gene15009	CNTN1
gene15010	L345_15011
gene15011	L345_15012
gene15012	L345_15013
gene15013	L345_15014
gene15014	Padi2
gene15015	PADI1
gene15016	Padi2
gene15017	TRIM62
gene15018	L345_15015
gene15019	pssA
gene15020	L345_15018
gene15021	SLMAP
gene15022	Bace2
gene15023	RRBP1
gene15024	PXR1
gene15025	dotA
gene15026	CCDC19
gene15027	AP3S1
gene15028	Plch2
gene15029	Gcc1
gene15030	FSCN3
gene15031	FSCN3
gene15032	pax6
gene15033	atad1a
gene15034	RH42
gene15035	Pfn2
gene15036	POLR3D
gene15037	Zcwpw1
gene15038	EPHB4
gene15039	PCDHGA8
gene15040	L345_15047
gene15041	PCDHGA6
gene15042	PCDHGA6
gene15043	PCDHGB6
gene15044	PCDHGB1
gene15045	PCDHGB1
gene15046	PCDHGC3
gene15047	PCDHGC5
gene15048	MTO1
gene15049	KLF11
gene15050	L345_15052
gene15051	CLDN16
gene15052	L345_15055
gene15053	L345_15053
gene15054	L345_15054
gene15055	Pde4dip
gene15056	RPS15A
gene15057	IKZF3
gene15058	L345_15059
gene15059	L345_15060
gene15060	PARD3B
gene15061	L345_15062
gene15062	PRKAR1B
gene15063	ABCA12
gene15064	FAM96A
gene15065	PIP5K1B
gene15066	cpsf5
gene15067	OGFOD1
gene15068	TLL1
gene15069	L345_15070
gene15070	NEK10
gene15071	Pla2g4b
gene15072	Pla2g4b
gene15073	infB
gene15074	KRBOX1
gene15075	L345_15076
gene15076	not2
gene15077	SYTL5
gene15078	NANOG
gene15079	A2ML1
gene15080	NKAIN3
gene15081	L345_15082
gene15082	TMEM123
gene15083	Iqsec1
gene15084	L345_15085
gene15085	PSMD2
gene15086	L345_15087
gene15087	TRPC6
gene15088	L345_15089
gene15089	Ndrg1
gene15090	LRRC17
gene15091	Fbxl13
gene15092	L345_15094
gene15093	RBM25
gene15094	L345_15095
gene15095	LY6E
gene15096	L345_15097
gene15097	priB
gene15098	EXOC4
gene15099	MMP17
gene15100	EBNA1
gene15101	ATP8B3
gene15102	ATP8B1
gene15103	ATP8B3
gene15104	L345_15104
gene15105	L345_15107
gene15106	L345_15106
gene15107	Mr1
gene15108	L345_15108
gene15109	CFH
gene15110	L345_15111
gene15111	Hmgn5
gene15112	PTGIR
gene15113	GNG8
gene15114	DACT3
gene15115	PRKD2
gene15116	L345_15113
gene15117	POLM
gene15118	GNS
gene15119	ADAM2
gene15120	BMP10
gene15121	ARHGAP25
gene15122	Cds2
gene15123	L345_15124
gene15124	ARHGEF2
gene15125	Tox3
gene15126	L345_15127
gene15127	TMEM158
gene15128	BCL2
gene15129	ZC3H13
gene15130	L345_15131
gene15131	baz1b
gene15132	ACSL1
gene15133	L345_15134
gene15134	KCNQ3
gene15135	OC90
gene15136	L345_15138
gene15137	CATSPERG
gene15138	CATSPERG
gene15139	CATSPERG
gene15140	PSMD8
gene15141	unc-89
gene15142	Msn
gene15143	KRT10
gene15144	PION
gene15145	CKLF
gene15146	CMTM3
gene15147	L345_15148
gene15148	EXOC6B
gene15149	Elovl5
gene15150	GCM1
gene15151	ARID3B
gene15152	L345_15153
gene15153	AVL9
gene15154	KBTBD2
gene15155	NR4A2
gene15156	L345_15159
gene15157	Abcd2
gene15158	ABCD2
gene15159	CNGB1
gene15160	dotA
gene15161	Srst
gene15162	L345_15163
gene15163	L345_15164
gene15164	L345_15165
gene15165	Rgc32
gene15166	Evl
gene15167	L345_15170
gene15168	RNPS1
gene15169	TELO2
gene15170	L345_15171
gene15171	IFT140
gene15172	L345_15173
gene15173	HERC6
gene15174	LDB2
gene15175	L345_15177
gene15176	L345_15176
gene15177	Gad2
gene15178	MYCBP2
gene15179	MYCBP2
gene15180	Rbm25
gene15181	PPIL2
gene15182	Hira
gene15183	L345_15183
gene15184	gse1
gene15185	CTNNB1
gene15186	L345_15187
gene15187	RBM25
gene15188	EEPD1
gene15189	Ubap2l
gene15190	PLD1
gene15191	TY3B-I
gene15192	L345_15193
gene15193	L345_15194
gene15194	Naf1
gene15195	MRC1
gene15196	RPL15
gene15197	Nkiras1
gene15198	L345_15199
gene15199	L345_15200
gene15200	TRIM42
gene15201	AVL9
gene15202	RBMS3
gene15203	L345_15204
gene15204	L345_15205
gene15205	PEG10
gene15206	Pappa
gene15207	L345_15208
gene15208	L345_15209
gene15209	L345_15212
gene15210	LYSMD2
gene15211	Tmod2
gene15212	TMOD3
gene15213	Leo1
gene15214	Srst
gene15215	ARF6
gene15216	HNRNPL
gene15217	Mar-05
gene15218	L345_15219
gene15219	DSCAM
gene15220	PXR1
gene15221	vmp1
gene15222	tubd1
gene15223	Srst
gene15224	L345_15225
gene15225	Lrpap1
gene15226	TMEM8B
gene15227	TMEM8A
gene15228	AVD
gene15229	L345_15227
gene15230	Krt4
gene15231	Krt75
gene15232	KRT5
gene15233	Krt5
gene15234	DBX2
gene15235	MR1
gene15236	L345_15237
gene15237	L345_15238
gene15238	JUND
gene15239	EAPP
gene15240	SNX6
gene15241	BAZ1A
gene15242	CYP2A13
gene15243	CYP2G1
gene15244	CYP2F3
gene15245	AASDH
gene15246	L345_15247
gene15247	CRIP1
gene15248	Tcfcp2
gene15249	Plekha2
gene15250	PLEKHA2
gene15251	SOX8
gene15252	PTPRO
gene15253	Col6a4
gene15254	FEM1A
gene15255	TICAM1
gene15256	L345_15257
gene15257	L345_15258
gene15258	NBEAL1
gene15259	L345_15260
gene15260	LY6E
gene15261	Tas1r2
gene15262	ALDH4A1
gene15263	Iffo2
gene15264	L345_15265
gene15265	dotA
gene15266	CYLC2
gene15267	FNBP1
gene15268	Fnbp1
gene15269	Rbm25
gene15270	HMGN5
gene15271	USP20
gene15272	L345_15273
gene15273	Slc22a18
gene15274	L345_15275
gene15275	ENDOD1
gene15276	ENDOD1
gene15277	slc44a2
gene15278	ZBTB12
gene15279	L345_15280
gene15280	NVL
gene15281	DEGS1
gene15282	PLCH1
gene15283	HSPB8
gene15284	NOP9
gene15285	SLC39A11
gene15286	Zc3h18
gene15287	L345_15288
gene15288	PPARGC1A
gene15289	ZC3H18
gene15290	dotA
gene15291	MNN4
gene15292	L345_15293
gene15293	mst101(2)
gene15294	L345_15295
gene15295	TCRA
gene15296	L345_15298
gene15297	OR6X1
gene15298	L345_15297
gene15299	L345_15300
gene15300	Zcchc6
gene15301	ISCA1
gene15302	L345_15303
gene15303	DTWD2
gene15304	L345_15305
gene15305	NSD1
gene15306	NUF2
gene15307	L345_15308
gene15308	CYP4V2
gene15309	Foxp2
gene15310	HSP90AA1
gene15311	mutS
gene15312	DYNC1H1
gene15313	TMEM64
gene15314	CCDC7
gene15315	L345_15317
gene15316	Ttdn1
gene15317	SCAF11
gene15318	L345_15319
gene15319	TMEM209
gene15320	TMEM209
gene15321	HMGCR
gene15322	COL4A3BP
gene15323	L345_15324
gene15324	L345_15325
gene15325	Foxm1
gene15326	IKZF4
gene15327	L345_15329
gene15328	CYP17A1
gene15329	BTBD19
gene15330	Pxn
gene15331	RPLP0
gene15332	GCN1L1
gene15333	OR10A7
gene15334	HLA-F
gene15335	Mr1
gene15336	IFNGR2
gene15337	Tmem50b
gene15338	DNAJC28
gene15339	L345_15343
gene15340	L345_15342
gene15341	L345_15340
gene15342	TPRG1
gene15343	L345_15344
gene15344	far1
gene15345	MSRB3
gene15346	SLC16A7
gene15347	Hecw1
gene15348	UBA5
gene15349	ACAD11
gene15350	LGI2
gene15351	CYLC2
gene15352	NRTN
gene15353	OR2AG2
gene15354	OR2T29
gene15355	OR2T29
gene15356	L345_15357
gene15357	Mdga2
gene15358	L345_15359
gene15359	L345_15360
gene15360	TGFBR2
gene15361	RAMP3
gene15362	PXR1
gene15363	TYR
gene15364	Nrxn3
gene15365	L345_15366
gene15366	MYO1F
gene15367	KLHDC7A
gene15368	nkain4
gene15369	Rbm25
gene15370	PDE2A
gene15371	CNGB1
gene15372	Luc7l3
gene15373	L345_15376
gene15374	spcs2
gene15375	Xrra1
gene15376	ERCC6
gene15377	CNGB1
gene15378	Ntsr1
gene15379	HERC2
gene15380	Ang2
gene15381	Ang
gene15382	trim72
gene15383	IL1RN
gene15384	MPP7
gene15385	ARMC4
gene15386	A2M
gene15387	L345_15388
gene15388	L345_15389
gene15389	RBM25
gene15390	L345_15390
gene15391	Srst
gene15392	OR2AP1
gene15393	Gjb5
gene15394	ATHL1
gene15395	IFITM5
gene15396	ITPR1
gene15397	Synm
gene15398	L345_15399
gene15399	xpa
gene15400	NCBP1
gene15401	DOCK4
gene15402	RNF213
gene15403	RNF213
gene15404	Mknk1
gene15405	KIF23
gene15406	RPS18
gene15407	L345_15409
gene15408	PIGM
gene15409	L345_15410
gene15410	LEFTY2
gene15411	Tmem63a
gene15412	RELB
gene15413	RELB
gene15414	Clasrp
gene15415	Gemin5
gene15416	L345_15416
gene15417	Fam70a
gene15418	FAM70A
gene15419	ZBTB33
gene15420	CCDC86
gene15421	VWC2
gene15422	EHMT2
gene15423	Ehmt2
gene15424	L345_15425
gene15425	CD69
gene15426	L345_15427
gene15427	L345_15428
gene15428	L345_15429
gene15429	GDPD1
gene15430	L345_15431
gene15431	FADS1
gene15432	Abca9
gene15433	GABRA4
gene15434	Srst
gene15435	Efr3b
gene15436	L345_15438
gene15437	L345_15437
gene15438	DLG1
gene15439	SLC25A1
gene15440	STX3
gene15441	Srst
gene15442	FYCO1
gene15443	TXNRD3
gene15444	sec27
gene15445	KCTD4
gene15446	gtf2f2
gene15447	TPT1
gene15448	Dido1
gene15449	GABRB1
gene15450	ANKRD29
gene15451	L345_15452
gene15452	ZDBF2
gene15453	lmx1b.1
gene15454	RAB44
gene15455	L345_15456
gene15456	NT5DC1
gene15457	L345_15458
gene15458	L345_15459
gene15459	L345_15460
gene15460	L345_15461
gene15461	Robo2
gene15462	L345_15464
gene15463	Heatr8
gene15464	pou6f1
gene15465	Vmn2r26
gene15466	Vmn2r26
gene15467	L345_15468
gene15468	COL27A1
gene15469	TGL2
gene15470	L345_15472
gene15471	gnrh2
gene15472	L345_15475
gene15473	L345_15474
gene15474	L345_15473
gene15475	Dlg4
gene15476	L345_15478
gene15477	RBM25
gene15478	UBASH3B
gene15479	L345_15480
gene15480	SPSB1
gene15481	H6pd
gene15482	AGO61
gene15483	KRT32
gene15484	L345_15485
gene15485	L345_15486
gene15486	L345_15487
gene15487	Cbp53E
gene15488	RGAG4
gene15489	EPHA6
gene15490	L345_15491
gene15491	CMTM7
gene15492	ATP10B
gene15493	L345_15495
gene15494	CNGB1
gene15495	L345_15494
gene15496	EHD1
gene15497	Cideb
gene15498	EIF4E1B
gene15499	NRXN3
gene15500	L345_15501
gene15501	lhpp
gene15502	L345_15503
gene15503	Trim11
gene15504	ANAPC4
gene15505	ZCCHC4
gene15506	COL12A1
gene15507	CNGB1
gene15508	L345_15510
gene15509	L345_15509
gene15510	Slc47a2
gene15511	L345_15512
gene15512	L345_15513
gene15513	L345_15514
gene15514	MMP1
gene15515	TUBA8
gene15516	USP18
gene15517	L345_15518
gene15518	L345_15519
gene15519	COL6A6
gene15520	GATA3
gene15521	L345_15522
gene15522	SLC2A9
gene15523	Cyp2c11
gene15524	L345_15526
gene15525	NAALADL1
gene15526	ILF2
gene15527	L345_15530
gene15528	L345_15527
gene15529	L345_15529
gene15530	L345_15533
gene15531	Yrdc
gene15532	MTF1
gene15533	DTHD1
gene15534	QRFPR
gene15535	L345_15538
gene15536	Srst
gene15537	METRNL
gene15538	L345_15539
gene15539	Muc2
gene15540	Gnmt
gene15541	CNPY3
gene15542	L345_15541
gene15543	L345_15545
gene15544	ORMDL3
gene15545	TMEM168
gene15546	L345_15547
gene15547	FRAS1
gene15548	Rtl1
gene15549	ARID2
gene15550	GIMAP7
gene15551	Accn3
gene15552	cdk5
gene15553	TLK2
gene15554	tlk2
gene15555	Trim39
gene15556	THAP7
gene15557	Krt42
gene15558	L345_15559
gene15559	RTN3
gene15560	Atl3
gene15561	PRICKLE1
gene15562	ELAVL1
gene15563	L345_15564
gene15564	L345_15565
gene15565	L345_15567
gene15566	SLC26A5
gene15567	env
gene15568	Srst
gene15569	L345_15570
gene15570	L345_15571
gene15571	KCTD1
gene15572	HMGN5
gene15573	L345_15574
gene15574	B4GALT5
gene15575	CCT7
gene15576	APBB1IP
gene15577	L345_15578
gene15578	CYP2J2
gene15579	MEF2B
gene15580	SLC2A5
gene15581	Srst
gene15582	Slc2a5
gene15583	GPR157
gene15584	EPHB3
gene15585	Cyp2c23
gene15586	Fam20c
gene15587	Gk
gene15588	KCNE3
gene15589	L345_15590
gene15590	SPATA7
gene15591	L345_15592
gene15592	L345_15593
gene15593	Loxhd1
gene15594	BPIFC
gene15595	OR2K2
gene15596	GALNT8
gene15597	PXR1
gene15598	MAPKAP1
gene15599	PXR1
gene15600	L345_15599
gene15601	L345_15602
gene15602	cyp2k1
gene15603	cyp2k4
gene15604	ZC3HC1
gene15605	KLHDC10
gene15606	VNX1
gene15607	dotA
gene15608	L345_15610
gene15609	Zbed6
gene15610	LRRFIP2
gene15611	IGSF21
gene15612	AMPH
gene15613	Alg3
gene15614	ALG3
gene15615	L345_15616
gene15616	L345_15617
gene15617	VSIG6
gene15618	P2ry2
gene15619	L345_15621
gene15620	Plekhn1
gene15621	L345_15622
gene15622	ilvbl
gene15623	SYDE1
gene15624	shc1
gene15625	flad1
gene15626	SMAD6
gene15627	SMAD6
gene15628	COASY
gene15629	NAGLU
gene15630	Cdh26
gene15631	KSR2
gene15632	Srst
gene15633	L345_15634
gene15634	DLD
gene15635	Xcr1
gene15636	Srst
gene15637	dotA
gene15638	Phex
gene15639	L345_15640
gene15640	ARHGEF17
gene15641	ACIN1
gene15642	L345_15644
gene15643	P2RY3
gene15644	PXR1
gene15645	Sbk1
gene15646	GABARAPL1
gene15647	SLC5A8
gene15648	L345_15649
gene15649	Kat6b
gene15650	dlg1
gene15651	TF
gene15652	L345_15653
gene15653	PAX7
gene15654	ANKRD56
gene15655	TMCO5B
gene15656	secA
gene15657	Nmt2
gene15658	L345_15659
gene15659	NPHP3
gene15660	CCDC91
gene15661	rhbg
gene15662	myoM
gene15663	ZC3H13
gene15664	Srst
gene15665	L345_15665
gene15666	Mpnd
gene15667	DCLK1
gene15668	NDUFC2
gene15669	Alg8
gene15670	KCTD21
gene15671	Abca5
gene15672	GNAT3
gene15673	RRBP1
gene15674	L345_15675
gene15675	L345_15676
gene15676	Srst
gene15677	L345_15679
gene15678	L345_15678
gene15679	L345_15680
gene15680	L345_15681
gene15681	APBB2
gene15682	L345_15684
gene15683	L345_15683
gene15684	L345_15685
gene15685	L345_15686
gene15686	L345_15687
gene15687	LHFPL3
gene15688	TNNC1
gene15689	L345_15690
gene15690	SNX8
gene15691	Nudt1
gene15692	CHAF1A
gene15693	Ftsj2
gene15694	VMO1
gene15695	MYO5B
gene15696	Acaa2
gene15697	Cacna2d3
gene15698	osa
gene15699	SEZ6L
gene15700	L345_15701
gene15701	A2M
gene15702	TNC
gene15703	Myo5b
gene15704	L345_15705
gene15705	L345_15707
gene15706	L345_15706
gene15707	CYP4F22
gene15708	UNC5D
gene15709	UNC5D
gene15710	PEG10
gene15711	Trim27
gene15712	Vmn2r26
gene15713	C3
gene15714	DDAH1
gene15715	TRAF1
gene15716	MRPL32
gene15717	PSMA2
gene15718	L345_15717
gene15719	L345_15720
gene15720	PI4K2B
gene15721	AIF1L
gene15722	L345_15723
gene15723	L345_15726
gene15724	L345_15724
gene15725	L345_15722
gene15726	RSL1D1
gene15727	RRN3
gene15728	ZC3H13
gene15729	Srst
gene15730	GARP
gene15731	RH42
gene15732	TP73
gene15733	THBS2
gene15734	L345_15734
gene15735	TFG
gene15736	ABI3BP
gene15737	L345_15740
gene15738	Wfdc8
gene15739	L345_15738
gene15740	L345_15741
gene15741	NCOR2
gene15742	RNF20
gene15743	Cnnm4
gene15744	Dnttip1
gene15745	UBE2C
gene15746	TNNC2
gene15747	Acot8
gene15748	Wisp2
gene15749	P2ry1
gene15750	L345_15751
gene15751	L345_15752
gene15752	L345_15753
gene15753	L345_15754
gene15754	Iqgap2
gene15755	Crtap
gene15756	GLB1
gene15757	SMG8
gene15758	L345_15760
gene15759	tdcB
gene15760	L345_15761
gene15761	WBP4
gene15762	L345_15763
gene15763	OR10A7
gene15764	VPS13D
gene15765	VPS13D
gene15766	VPS13D
gene15767	VPS13D
gene15768	UQCRC2
gene15769	PDZD9
gene15770	CASC1
gene15771	LRMP
gene15772	L345_15772
gene15773	LRP8
gene15774	lys
gene15775	L345_15777
gene15776	znf593
gene15777	L345_15776
gene15778	PAK1
gene15779	KCTD8
gene15780	SP4
gene15781	htr7
gene15782	VN1R3
gene15783	AMIGO2
gene15784	INO80
gene15785	RPSA
gene15786	L345_15787
gene15787	L345_15788
gene15788	RPF2
gene15789	Prf1
gene15790	NLRP3
gene15791	MID2
gene15792	Top3b
gene15793	HMGN5
gene15794	snrnp70
gene15795	SCYL1
gene15796	L345_15799
gene15797	CDC42BPG
gene15798	CDC42BPG
gene15799	L345_15797
gene15800	CDC42BPG
gene15801	L345_15802
gene15802	Pdgfa
gene15803	RBM25
gene15804	TBCK
gene15805	SLC2A9
gene15806	MMP20
gene15807	EFNA5
gene15808	NKD1
gene15809	L345_15810
gene15810	Mylip
gene15811	CLIC1
gene15812	L345_15813
gene15813	L345_15814
gene15814	NPR2
gene15815	TACC2
gene15816	BTBD16
gene15817	L345_15818
gene15818	MGAM
gene15819	Trim7
gene15820	Htr6
gene15821	NBL1
gene15822	PLA2G12B
gene15823	PLA2G12B
gene15824	Tekt4
gene15825	L345_15826
gene15826	NPTN
gene15827	Slc8a2
gene15828	L345_15829
gene15829	L345_15831
gene15830	L345_15832
gene15831	L345_15830
gene15832	ATP6V1G3
gene15833	GPR22
gene15834	MACC1
gene15835	L345_15836
gene15836	L345_15837
gene15837	ANKRD53
gene15838	L345_15839
gene15839	Ttll3
gene15840	RPUSD3
gene15841	jagn1
gene15842	nop58
gene15843	ZC3H13
gene15844	POU6F2
gene15845	L345_15846
gene15846	L345_15847
gene15847	DHRS11
gene15848	MR1
gene15849	Mr1
gene15850	B2M
gene15851	TRIM69
gene15852	L345_15853
gene15853	tmem160
gene15854	Npas3
gene15855	CYLC2
gene15856	L345_15858
gene15857	Npas3
gene15858	GSE1
gene15859	C1QTNF1
gene15860	MYT1
gene15861	myt1
gene15862	L345_15863
gene15863	L345_15864
gene15864	AGPAT1
gene15865	L345_15866
gene15866	NAB1
gene15867	L345_15868
gene15868	RHOG
gene15869	L345_15871
gene15870	NUP98
gene15871	Nup98
gene15872	Nup98
gene15873	NUP98
gene15874	ycf2-A
gene15875	CNGB1
gene15876	L345_15877
gene15877	ARID2
gene15878	L345_15879
gene15879	CPZ
gene15880	CPZ
gene15881	Tmem138
gene15882	Cybasc3
gene15883	DAK
gene15884	NT5C1A
gene15885	L345_15886
gene15886	L345_15887
gene15887	Dap3
gene15888	ASH1L
gene15889	USO1
gene15890	RPS21
gene15891	Gpr56
gene15892	Srst
gene15893	H3v1
gene15894	Olfr476
gene15895	Muc2
gene15896	CCDC122
gene15897	L345_15898
gene15898	L345_15899
gene15899	qtrt1
gene15900	Slc38a1
gene15901	CX3CL1
gene15902	SMG5
gene15903	TCHH
gene15904	PAQR6
gene15905	L345_15907
gene15906	L345_15906
gene15907	TMEM79
gene15908	NCAN
gene15909	Cyp2j5
gene15910	L345_15911
gene15911	L345_15912
gene15912	PPARA
gene15913	SAMD10
gene15914	L345_15915
gene15915	L345_15916
gene15916	L345_15917
gene15917	L345_15918
gene15918	SLC2A13
gene15919	Mtm1
gene15920	Mtmr1
gene15921	L345_15922
gene15922	TRIM27
gene15923	lrrc3
gene15924	TSPEAR
gene15925	FLNC
gene15926	UBE2M
gene15927	chmp2a
gene15928	L345_15930
gene15929	L345_15929
gene15930	Ulk2
gene15931	rxrab
gene15932	Kcnu1
gene15933	F9
gene15934	Mcf2l
gene15935	nst1
gene15936	Zc3h18
gene15937	meis3-b
gene15938	L345_15940
gene15939	L345_15939
gene15940	Unc13a
gene15941	L345_15942
gene15942	L345_15944
gene15943	U2AF65B
gene15944	L345_15945
gene15945	Spinlw1
gene15946	L345_15947
gene15947	L345_15948
gene15948	Ctsa
gene15949	UCN3
gene15950	TUBA1A
gene15951	L345_15952
gene15952	IFRD1
gene15953	PPAPDC2
gene15954	L345_15955
gene15955	L345_15956
gene15956	SEMA3C
gene15957	GALNT11
gene15958	Rbm46
gene15959	IMMP2L
gene15960	L345_15961
gene15961	NDST3
gene15962	Plxna4
gene15963	CPA1
gene15964	CEP41
gene15965	Mest
gene15966	copg2
gene15967	copg2
gene15968	L345_15966
gene15969	GABARAP
gene15970	CTDNEP1
gene15971	PEX1
gene15972	Derp6
gene15973	L345_15974
gene15974	L345_15975
gene15975	Kcnh2
gene15976	Itpr2
gene15977	Rnpep
gene15978	dotA
gene15979	cshA
gene15980	L345_15981
gene15981	RGMA
gene15982	CYP3A29
gene15983	PTGS2
gene15984	L345_15985
gene15985	L345_15986
gene15986	POP4
gene15987	L345_15988
gene15988	L345_15989
gene15989	dotA
gene15990	L345_15991
gene15991	USP35
gene15992	Lipk
gene15993	Gtsf1
gene15994	SNRNP200
gene15995	SNRNP200
gene15996	L345_15998
gene15997	JSRP1
gene15998	L345_15999
gene15999	TOMM40L
gene16000	NPAS4
gene16001	L345_16003
gene16002	ST8SIA1
gene16003	L345_16006
gene16004	L345_16004
gene16005	ZNF252
gene16006	SSH2
gene16007	L345_16008
gene16008	ARHGAP21
gene16009	Gpr137
gene16010	MNN4
gene16011	Bad
gene16012	yvgN
gene16013	Rnf20
gene16014	GDPD4
gene16015	MYO7A
gene16016	KCTD18
gene16017	Spats2l
gene16018	L345_16019
gene16019	Eppk1
gene16020	DAGLB
gene16021	L345_16022
gene16022	L345_16023
gene16023	Srst
gene16024	Fbxo18
gene16025	Ankrd16
gene16026	GDI1
gene16027	MUC5AC
gene16028	CVCB
gene16029	Xkr7
gene16030	ANKRD39
gene16031	ZC3H13
gene16032	TMEM132D
gene16033	L345_16034
gene16034	TBC1D12
gene16035	Noc3l
gene16036	Clcn2
gene16037	Srst
gene16038	Cdo1
gene16039	ZCRB1
gene16040	SYT2
gene16041	SI
gene16042	MACF1
gene16043	Dst
gene16044	infB
gene16045	ZFHX2
gene16046	L345_16047
gene16047	L345_16046
gene16048	Plec
gene16049	ITA
gene16050	L345_16050
gene16051	L345_16052
gene16052	THSD7A
gene16053	PEX11B
gene16054	LIX1L
gene16055	RBM8A
gene16056	Net1
gene16057	Tspan7
gene16058	L345_16059
gene16059	Dysf
gene16060	L345_16061
gene16061	TPCN1
gene16062	Pax2
gene16063	L345_16064
gene16064	AP1M2
gene16065	GLTSCR1
gene16066	Ehd3
gene16067	ALPI
gene16068	Gper
gene16069	ZFAND2B
gene16070	nop58
gene16071	Marcks
gene16072	PXR1
gene16073	TMEM229B
gene16074	L345_16075
gene16075	MBL2
gene16076	L345_16077
gene16077	Relt
gene16078	RELT
gene16079	PPARGC1A
gene16080	L345_16081
gene16081	L345_16082
gene16082	L345_16084
gene16083	Cyp2g1
gene16084	LRRC52
gene16085	FGF12
gene16086	L345_16088
gene16087	IFITM3
gene16088	L345_16089
gene16089	L345_16090
gene16090	L345_16091
gene16091	ASPA
gene16092	GEMIN4
gene16093	FAM57A
gene16094	Alpl
gene16095	ALPL
gene16096	CTSC
gene16097	Rbms3
gene16098	L345_16099
gene16099	cyp2k1
gene16100	P2RX1
gene16101	AP1B1
gene16102	DPY19L3
gene16103	L345_16104
gene16104	EPDR1
gene16105	L345_16106
gene16106	PIK3C3
gene16107	Pik3c3
gene16108	L345_16109
gene16109	TAOK3
gene16110	Ahi1
gene16111	Zscan20
gene16112	REPIN1
gene16113	L345_16114
gene16114	L345_16115
gene16115	L345_16117
gene16116	KRTAP10-8
gene16117	L345_16118
gene16118	L345_16119
gene16119	ARHGEF17
gene16120	L345_16120
gene16121	CYLC2
gene16122	CNGB1
gene16123	Galr2
gene16124	MUC1
gene16125	L345_16126
gene16126	PTPRN2
gene16127	CNTRL
gene16128	VIL1
gene16129	L345_16130
gene16130	DHRS13
gene16131	RDH14
gene16132	foxi1c
gene16133	Spint1
gene16134	Slc6a20a
gene16135	Dnajb9
gene16136	NKX6-1
gene16137	ilvbl
gene16138	CYP2J2
gene16139	Vps52
gene16140	Vps52
gene16141	Col11a2
gene16142	L345_16143
gene16143	ABHD16A
gene16144	L345_16145
gene16145	L345_16147
gene16146	L345_16146
gene16147	L345_16148
gene16148	L345_16149
gene16149	RELL2
gene16150	Hsd17b2
gene16151	csgA
gene16152	Dab2ip
gene16153	L345_16154
gene16154	L345_16155
gene16155	ERCC1
gene16156	L345_16158
gene16157	EXOC3L2
gene16158	Nfatc4
gene16159	MARK4
gene16160	CYP26B1
gene16161	Errfi1
gene16162	AADACL3
gene16163	LMTK2
gene16164	NCL
gene16165	B3GNT7
gene16166	L345_16166
gene16167	Napepld
gene16168	ARMCX3
gene16169	L345_16170
gene16170	L345_16171
gene16171	CYP2B4
gene16172	STBD1
gene16173	NLGN3
gene16174	ZP3
gene16175	GAL3ST1
gene16176	PES1
gene16177	L345_16178
gene16178	L345_16179
gene16179	CCT4
gene16180	L345_16180
gene16181	TMEM26
gene16182	L345_16183
gene16183	Rnf13
gene16184	TNFAIP8L1
gene16185	MTA2
gene16186	Srst
gene16187	MTA2
gene16188	tut1
gene16189	L345_16188
gene16190	WDR74
gene16191	CXCR1
gene16192	PLA2G4E
gene16193	L345_16194
gene16194	Nol4
gene16195	TTLL9
gene16196	L345_16197
gene16197	L345_16198
gene16198	MZT2A
gene16199	Cd79b
gene16200	ADAMTSL5
gene16201	ADAMTSL5
gene16202	cyp2m1
gene16203	Cyp2c37
gene16204	SFRP2
gene16205	L345_16206
gene16206	Folr1
gene16207	Vps33b
gene16208	VPS33B
gene16209	NRP2
gene16210	L345_16211
gene16211	SCN3B
gene16212	LIPM
gene16213	MAP2K1
gene16214	mboat2
gene16215	Nampt
gene16216	LDB2
gene16217	sraP
gene16218	L345_16219
gene16219	SERPINB14
gene16220	CNGB1
gene16221	L345_16222
gene16222	Taok1
gene16223	ttc39b
gene16224	MON2
gene16225	Ppm1h
gene16226	L345_16227
gene16227	NR1D2
gene16228	ST3GAL1
gene16229	EPG5
gene16230	PXR1
gene16231	LRRN1
gene16232	CYLC2
gene16233	RBM25
gene16234	Tmem117
gene16235	PSMA5
gene16236	L345_16237
gene16237	MPI
gene16238	L345_16241
gene16239	COX5A
gene16240	RPP25
gene16241	vasn
gene16242	MUC17
gene16243	IMPG2
gene16244	TRIM56
gene16245	SERPINE1
gene16246	VGF
gene16247	L345_16249
gene16248	mogat2-a
gene16249	L345_16250
gene16250	Sox18
gene16251	Ms4a8a
gene16252	OR13A1
gene16253	Fbxo40
gene16254	HPSE
gene16255	COQ2
gene16256	VPS13D
gene16257	spa
gene16258	Akap4
gene16259	Dyrk4
gene16260	MCM4
gene16261	RAD51AP1
gene16262	FGF23
gene16263	Fgf23
gene16264	TIGAR
gene16265	L345_16266
gene16266	L345_16267
gene16267	L345_16268
gene16268	CNGB1
gene16269	L345_16270
gene16270	SYTL2
gene16271	Ppp1r13l
gene16272	PPP1R13L
gene16273	Ppp1r13l
